year_of_build,description,date,rieltor,district,num_of_rooms,floor_of_flat,sum_of_floors,area_of_flat,PRICE
2012,кирпичный,17.05.24,Частное лицо,Алматы,3.0,3,10,80.0,26000000
2010,монолитный,15.05.24,Частное лицо,Алматы,2.0,13,17,70.0,26000000
2023,монолитный,02.05.24,Застройщик,Алматы,2.0,10,21,63.3,24687000
2023,кирпичный,17.05.24,Частное лицо,Алматы,1.0,7,9,38.0,15800000
2013,монолитный,17.05.24,Частное лицо,Алматы,2.0,12,12,77.0,26600000
2015,кирпичный,17.05.24,"Компания ""Этажы"" ",Алматы,2.0,6,6,60.0,24650000
2012,монолитный,17.05.24,"Компания ""Arbat Real Estate"" ",Алматы,1.0,7,14,51.8,22000000
1970,кирпичный,17.05.24,Агентство,Алматы,2.0,1,5,42.0,15000000
2014,блочный,17.05.24,"Компания ""Этажы"" ",Алматы,1.0,3,19,41.0,25000000
2005,монолитный,17.05.24,"Компания ""Этажы"" ",Алматы,1.0,12,19,51.7,19500000
2022,кирпичный,17.05.24,"Компания ""Этажы"" ",Алматы,1.0,5,9,21.0,9990000
2022,кирпичный,17.05.24,"Компания ""Этажы"" ",Алматы,1.0,4,9,21.0,9990000
2023,блочный,17.05.24,"Компания ""Этажы"" ",Алматы,3.0,14,15,73.5,29000000
2023,кирпичный,17.05.24,"Компания ""Этажы"" ",Алматы,1.0,6,10,35.0,17000000
2014,кирпичный,17.05.24,"Компания ""Этажы"" ",Алматы,1.0,12,12,53.4,21500000
1987,монолитный,17.05.24,"Компания ""Этажы"" ",Алматы,2.0,1,5,50.0,18500000
2024,кирпичный,17.05.24,"Компания ""Этажы"" ",Алматы,2.0,1,14,75.0,27000000
2016,монолитный,17.05.24,"Компания ""Этажы"" ",Алматы,1.0,2,12,38.9,17800000
2011,кирпичный,17.05.24,"Компания ""Этажы"" ",Алматы,3.0,6,20,83.0,40000000
2018,кирпичный,17.05.24,"Компания ""Этажы"" ",Алматы,1.0,4,5,26.0,10500000
2015,монолитный,17.05.24,"Компания ""Этажы"" ",Алматы,2.0,7,18,75.8,30000000
2014,кирпичный,17.05.24,"Компания ""Этажы"" ",Алматы,1.0,4,9,27.0,14000000
2018,кирпичный,17.05.24,"Компания ""Этажы"" ",Алматы,1.0,10,10,34.0,14700000
2014,монолитный,17.05.24,"Компания ""Этажы"" ",Алматы,2.0,2,12,63.0,25450000
2020,блочный,17.05.24,"Компания ""Этажы"" ",Алматы,2.0,15,23,62.55,33000000
2008,кирпичный,17.05.24,"Компания ""Этажы"" ",Алматы,1.0,3,9,40.6,16000000
2011,кирпичный,17.05.24,"Компания ""Этажы"" ",Алматы,1.0,10,10,39.6,18000000
1989,панельный,17.05.24,"Компания ""Этажы"" ",Алматы,2.0,1,5,50.0,22000000
2020,кирпичный,17.05.24,"Компания ""Этажы"" ",Алматы,1.0,1,10,42.0,21000000
2021,кирпичный,17.05.24,"Компания ""Этажы"" ",Алматы,1.0,3,12,41.8,22000000
2006,монолитный,17.05.24,"Компания ""Этажы"" ",Алматы,1.0,14,16,36.3,18500000
2022,монолитный,17.05.24,"Компания ""Этажы"" ",Алматы,1.0,10,18,46.0,20000000
2014,монолитный,17.05.24,"Компания ""Этажы"" ",Алматы,2.0,4,12,48.6,23800000
2011,монолитный,17.05.24,"Компания ""Этажы"" ",Алматы,1.0,3,5,22.0,12100000
2024,кирпичный,17.05.24,"Компания ""Этажы"" ",Алматы,3.0,9,9,69.0,39500000
2017,монолитный,17.05.24,"Компания ""Этажы"" ",Алматы,1.0,3,7,40.0,19450000
1985,монолитный,17.05.24,"Компания ""Этажы"" ",Алматы,2.0,2,5,35.4,15000000
2014,кирпичный,17.05.24,"Компания ""Этажы"" ",Алматы,2.0,9,12,79.1,31000000
2017,монолитный,17.05.24,"Компания ""Этажы"" ",Алматы,1.0,6,15,37.0,22000000
2018,монолитный,17.05.24,"Компания ""Этажы"" ",Алматы,1.0,13,13,37.0,20000000
2022,монолитный,17.05.24,"Компания ""Этажы"" ",Алматы,1.0,7,17,40.0,19500000
2018,монолитный,17.05.24,"Компания ""Этажы"" ",Алматы,1.0,10,12,35.0,15800000
2023,панельный,17.05.24,"Компания ""Этажы"" ",Алматы,1.0,8,9,44.3,22500000
2024,кирпичный,17.05.24,"Компания ""Этажы"" ",Алматы,3.0,3,9,58.0,35000000
2010,монолитный,17.05.24,"Компания ""Этажы"" ",Алматы,2.0,13,20,68.0,25700000
2019,монолитный,17.05.24,"Компания ""Этажы"" ",Алматы,2.0,9,15,67.4,33000000
2017,монолитный,17.05.24,"Компания ""Этажы"" ",Алматы,2.0,5,12,53.0,31000000
2011,монолитный,17.05.24,"Компания ""Этажы"" ",Алматы,1.0,8,9,44.0,21000000
2018,монолитный,17.05.24,"Компания ""Этажы"" ",Алматы,1.0,8,12,34.0,20900000
2011,кирпичный,17.05.24,"Компания ""Этажы"" ",Алматы,1.0,9,9,33.3,16000000
2012,монолитный,17.05.24,"Компания ""Этажы"" ",Алматы,2.0,18,26,49.3,23000000
2022,монолитный,17.05.24,"Компания ""Этажы"" ",Алматы,2.0,7,9,54.9,27000000
2022,блочный,17.05.24,"Компания ""Этажы"" ",Алматы,2.0,10,16,61.3,33000000
1996,кирпичный,17.05.24,"Компания ""Этажы"" ",Алматы,1.0,5,9,36.0,17450000
2022,кирпичный,17.05.24,"Компания ""Этажы"" ",Алматы,1.0,3,9,36.7,14750000
1998,монолитный,17.05.24,"Компания ""Этажы"" ",Алматы,3.0,3,4,74.0,30450000
2015,кирпичный,17.05.24,"Компания ""Этажы"" ",Алматы,2.0,6,9,52.0,26950000
2014,монолитный,17.05.24,Частное лицо,Алматы,3.0,18,18,79.3,32000000
2013,монолитный,17.05.24,Частное лицо,Алматы,2.0,5,13,105.0,47000000
2015,монолитный,17.05.24,Риэлтор,Алматы,1.0,9,12,39.0,14900000
2022,монолитный,17.05.24,"Компания ""Prospekt"" ",Алматы,3.0,3,7,103.0,42000000
2011,кирпичный,17.05.24,Агентство,Алматы,1.0,1,3,19.5,10500000
1990,панельный,17.05.24,Агентство,Алматы,3.0,5,6,69.0,25000000
2022,монолитный,17.05.24,Частное лицо,Алматы,1.0,14,16,32.4,13200000
2023,кирпичный,17.05.24,Частное лицо,Алматы,1.0,6,9,40.13,20000000
2023,кирпичный,17.05.24,Частное лицо,Алматы,3.0,4,9,76.0,30500000
2003,кирпичный,17.05.24,"Компания ""Этажы"" ",Алматы,2.0,7,9,60.0,26000000
2016,кирпичный,17.05.24,"Компания ""Этажы"" ",Алматы,1.0,13,19,45.0,18500000
1991,блочный,17.05.24,"Компания ""Этажы"" ",Алматы,1.0,1,6,35.0,13700000
2015,кирпичный,17.05.24,"Компания ""Этажы"" ",Алматы,1.0,11,12,40.0,17500000
2017,кирпичный,17.05.24,"Компания ""Этажы"" ",Алматы,2.0,2,9,59.0,31000000
1996,кирпичный,17.05.24,"Компания ""Этажы"" ",Алматы,1.0,8,9,34.6,16000000
2010,монолитный,17.05.24,"Компания ""Этажы"" ",Алматы,2.0,8,10,69.0,26500000
2022,кирпичный,17.05.24,"Компания ""Этажы"" ",Алматы,2.0,2,9,70.0,35000000
2012,кирпичный,17.05.24,"Компания ""Этажы"" ",Алматы,1.0,4,12,47.5,18500000
1989,панельный,17.05.24,"Компания ""Этажы"" ",Алматы,2.0,6,6,55.0,19900000
1989,кирпичный,17.05.24,"Компания ""Этажы"" ",Алматы,3.0,6,10,64.9,26000000
2010,монолитный,17.05.24,"Компания ""Этажы"" ",Алматы,2.0,8,10,64.0,23300000
2013,панельный,17.05.24,"Компания ""Этажы"" ",Алматы,1.0,13,14,37.1,17500000
2016,кирпичный,17.05.24,"Компания ""Этажы"" ",Алматы,2.0,9,9,60.0,25500000
2023,монолитный,17.05.24,"Компания ""Этажы"" ",Алматы,2.0,15,16,55.57,23500000
2017,монолитный,17.05.24,"Компания ""Этажы"" ",Алматы,2.0,6,23,69.0,32500000
2023,кирпичный,17.05.24,"Компания ""Этажы"" ",Алматы,1.0,6,12,31.0,15400000
2021,кирпичный,17.05.24,"Компания ""Этажы"" ",Алматы,2.0,10,11,63.5,39000000
2016,кирпичный,17.05.24,"Компания ""Этажы"" ",Алматы,2.0,8,9,59.0,25000000
2021,кирпичный,17.05.24,"Компания ""Этажы"" ",Алматы,2.0,9,10,61.4,32500000
2020,кирпичный,17.05.24,"Компания ""Этажы"" ",Алматы,2.0,2,7,45.0,21500000
2017,блочный,17.05.24,"Компания ""Этажы"" ",Алматы,1.0,2,9,49.0,20500000
2021,монолитный,17.05.24,"Компания ""Этажы"" ",Алматы,1.0,1,9,35.8,14400000
2011,монолитный,17.05.24,"Компания ""Этажы"" ",Алматы,2.0,3,9,65.0,29500000
2017,кирпичный,17.05.24,"Компания ""Этажы"" ",Алматы,3.0,2,10,78.0,29500000
2023,монолитный,17.05.24,"Компания ""Этажы"" ",Алматы,2.0,18,21,64.7,26500000
2023,кирпичный,17.05.24,"Компания ""Этажы"" ",Алматы,2.0,7,10,36.0,15000000
2021,кирпичный,17.05.24,"Компания ""Этажы"" ",Алматы,2.0,10,12,62.0,38000000
2021,кирпичный,17.05.24,"Компания ""Этажы"" ",Алматы,1.0,5,9,36.5,14500000
2022,кирпичный,17.05.24,Частное лицо,Алматы,2.0,7,9,73.0,39900000
2011,монолитный,17.05.24,"Компания ""Этажы"" ",Алматы,3.0,2,16,76.0,33000000
2013,монолитный,17.05.24,"Компания ""Этажы"" ",Алматы,1.0,2,14,34.0,20400000
2021,панельный,17.05.24,"Компания ""Этажы"" ",Алматы,1.0,3,9,36.0,14500000
2021,кирпичный,17.05.24,"Компания ""Этажы"" ",Алматы,1.0,3,12,41.0,21500000
2009,кирпичный,17.05.24,"Компания ""Этажы"" ",Алматы,3.0,8,9,92.0,37000000
2022,кирпичный,17.05.24,"Компания ""Этажы"" ",Алматы,2.0,8,10,56.5,35500000
2015,монолитный,17.05.24,"Компания ""Этажы"" ",Алматы,2.0,9,15,50.5,25500000
2011,кирпичный,17.05.24,"Компания ""Этажы"" ",Алматы,1.0,2,5,19.6,11000000
2024,монолитный,17.05.24,"Компания ""Этажы"" ",Алматы,2.0,3,9,55.0,19900000
2024,монолитный,17.05.24,"Компания ""Этажы"" ",Алматы,2.0,5,9,52.0,16900000
2005,кирпичный,17.05.24,"Компания ""Этажы"" ",Алматы,2.0,5,9,54.0,20300000
2016,монолитный,17.05.24,"Компания ""Этажы"" ",Алматы,2.0,11,12,55.0,23000000
2018,монолитный,17.05.24,"Компания ""Этажы"" ",Алматы,2.0,3,8,47.0,24000000
2022,кирпичный,17.05.24,"Компания ""Этажы"" ",Алматы,3.0,2,9,86.0,45000000
2017,кирпичный,17.05.24,"Компания ""Этажы"" ",Алматы,1.0,12,13,37.0,16700000
2021,панельный,17.05.24,"Компания ""Этажы"" ",Алматы,2.0,5,12,57.0,19600000
2024,кирпичный,17.05.24,"Компания ""Этажы"" ",Алматы,1.0,5,12,38.25,13800000
2018,кирпичный,17.05.24,"Компания ""Этажы"" ",Алматы,1.0,5,5,23.9,10000000
2022,кирпичный,17.05.24,"Компания ""Этажы"" ",Алматы,1.0,5,13,43.4,24000000
2015,монолитный,17.05.24,"Компания ""Этажы"" ",Алматы,2.0,14,18,48.2,23000000
1985,кирпичный,17.05.24,"Компания ""Этажы"" ",Алматы,2.0,1,5,42.3,23000000
2010,монолитный,17.05.24,"Компания ""Этажы"" ",Алматы,1.0,8,14,46.0,19500000
2021,блочный,17.05.24,"Компания ""Этажы"" ",Алматы,1.0,7,8,38.5,18000000
2020,монолитный,17.05.24,"Компания ""Этажы"" ",Алматы,1.0,12,21,44.9,17500000
2019,монолитный,17.05.24,"Компания ""Этажы"" ",Алматы,1.0,2,9,39.0,19500000
2007,монолитный,17.05.24,"Компания ""Этажы"" ",Алматы,1.0,7,9,46.0,20700000
2022,монолитный,17.05.24,"Компания ""Этажы"" ",Алматы,3.0,3,10,78.0,36000000
2023,кирпичный,17.05.24,"Компания ""Этажы"" ",Алматы,1.0,8,12,38.0,16500000
2014,кирпичный,17.05.24,"Компания ""Этажы"" ",Алматы,1.0,7,9,28.0,14000000
2019,монолитный,17.05.24,"Компания ""Этажы"" ",Алматы,1.0,9,14,38.7,20000000
2018,монолитный,17.05.24,"Компания ""Этажы"" ",Алматы,3.0,13,24,88.4,38500000
2023,кирпичный,17.05.24,"Компания ""Этажы"" ",Алматы,2.0,2,9,58.3,27500000
2023,кирпичный,17.05.24,"Компания ""Этажы"" ",Алматы,2.0,2,9,63.0,22000000
2011,кирпичный,17.05.24,"Компания ""Этажы"" ",Алматы,1.0,2,5,20.0,12000000
2020,блочный,17.05.24,"Компания ""Этажы"" ",Алматы,2.0,8,9,48.0,18500000
2015,монолитный,17.05.24,"Компания ""Этажы"" ",Алматы,2.0,1,10,69.2,28000000
2005,кирпичный,17.05.24,"Компания ""Этажы"" ",Алматы,3.0,4,5,60.0,27000000
2007,кирпичный,17.05.24,Агентство,Алматы,3.0,6,12,76.0,28000000
2018,монолитный,17.05.24,Агентство,Алматы,1.0,5,8,40.0,17500000
2014,монолитный,15.05.24,Частное лицо,Алматы,2.0,11,11,65.0,12000000
2023,кирпичный,15.05.24,Агентство,Алматы,2.0,4,9,67.0,26000000
1983,панельный,15.05.24,Риэлтор,Алматы,3.0,5,5,61.0,21800000
2023,монолитный,15.05.24,Риэлтор,Алматы,3.0,2,16,81.0,45000000
2023,монолитный,15.05.24,Риэлтор,Алматы,2.0,12,16,58.2,31000000
1992,кирпичный,15.05.24,Частное лицо,Алматы,1.0,5,5,36.0,16000000
2008,монолитный,15.05.24,Частное лицо,Алматы,3.0,4,12,90.0,37500000
2023,блочный,15.05.24,"Компания ""Этажы"" ",Алматы,2.0,4,16,55.6,20500000
2021,монолитный,15.05.24,"Компания ""Этажы"" ",Алматы,1.0,10,18,44.0,15900000
2024,кирпичный,15.05.24,"Компания ""Этажы"" ",Алматы,2.0,8,10,61.02,31700000
2022,кирпичный,15.05.24,"Компания ""Этажы"" ",Алматы,3.0,8,9,60.0,26500000
1981,панельный,15.05.24,"Компания ""Этажы"" ",Алматы,3.0,3,5,60.1,25000000
2021,кирпичный,15.05.24,"Компания ""Этажы"" ",Алматы,2.0,13,17,63.0,27500000
2020,монолитный,15.05.24,"Компания ""Этажы"" ",Алматы,1.0,14,21,43.9,19000000
2012,монолитный,15.05.24,"Компания ""Этажы"" ",Алматы,2.0,11,12,75.0,27000000
2022,кирпичный,15.05.24,"Компания ""Этажы"" ",Алматы,3.0,2,9,60.0,26500000
2014,кирпичный,15.05.24,"Компания ""Этажы"" ",Алматы,2.0,10,10,65.0,30000000
2021,кирпичный,15.05.24,"Компания ""Этажы"" ",Алматы,1.0,2,10,47.0,16500000
2019,монолитный,15.05.24,"Компания ""Этажы"" ",Алматы,2.0,3,7,54.2,24500000
2014,монолитный,15.05.24,"Компания ""Этажы"" ",Алматы,1.0,2,8,41.0,21500000
2022,кирпичный,15.05.24,"Компания ""Этажы"" ",Алматы,1.0,5,9,33.0,14400000
2010,монолитный,15.05.24,"Компания ""Этажы"" ",Алматы,2.0,2,14,60.0,25000000
2019,кирпичный,15.05.24,"Компания ""Этажы"" ",Алматы,1.0,2,7,38.2,17000000
2014,кирпичный,15.05.24,"Компания ""Этажы"" ",Алматы,1.0,3,5,36.0,19000000
2007,монолитный,15.05.24,"Компания ""Этажы"" ",Алматы,2.0,3,9,48.0,20000000
2023,монолитный,15.05.24,"Компания ""Этажы"" ",Алматы,2.0,3,9,43.5,16500000
2023,монолитный,15.05.24,"Компания ""Этажы"" ",Алматы,2.0,3,17,64.0,14000000
2012,кирпичный,15.05.24,"Компания ""Этажы"" ",Алматы,3.0,2,6,80.0,32000000
2005,кирпичный,15.05.24,"Компания ""Этажы"" ",Алматы,3.0,7,12,76.0,28000000
2005,кирпичный,15.05.24,"Компания ""Этажы"" ",Алматы,1.0,2,9,34.0,19500000
2011,кирпичный,15.05.24,"Компания ""Этажы"" ",Алматы,2.0,4,5,39.7,17500000
2022,монолитный,15.05.24,"Компания ""Этажы"" ",Алматы,1.0,9,13,48.0,15000000
2023,панельный,15.05.24,"Компания ""Этажы"" ",Алматы,1.0,9,9,44.3,20000000
2023,кирпичный,15.05.24,"Компания ""Этажы"" ",Алматы,2.0,10,12,38.0,18000000
2016,монолитный,15.05.24,"Компания ""Этажы"" ",Алматы,3.0,12,16,87.0,46000000
2006,кирпичный,15.05.24,"Компания ""Этажы"" ",Алматы,2.0,9,9,67.7,21500000
2005,кирпичный,15.05.24,"Компания ""Этажы"" ",Алматы,1.0,2,9,33.2,16450000
2017,монолитный,15.05.24,"Компания ""Этажы"" ",Алматы,2.0,13,16,62.5,17950000
2023,монолитный,15.05.24,"Компания ""Этажы"" ",Алматы,2.0,3,9,60.0,18000000
2014,монолитный,15.05.24,"Компания ""Этажы"" ",Алматы,2.0,10,10,51.0,15000000
2007,блочный,15.05.24,"Компания ""Этажы"" ",Алматы,1.0,9,12,33.2,14420000
2017,кирпичный,15.05.24,"Компания ""Этажы"" ",Алматы,3.0,4,9,76.0,29950000
1987,монолитный,15.05.24,"Компания ""Этажы"" ",Алматы,3.0,4,5,59.0,25450000
2018,кирпичный,15.05.24,"Компания ""Этажы"" ",Алматы,1.0,8,9,39.0,20000000
2024,кирпичный,15.05.24,"Компания ""Этажы"" ",Алматы,2.0,4,12,58.0,18000000
1969,панельный,15.05.24,"Компания ""Этажы"" ",Алматы,2.0,2,5,45.0,19500000
1977,панельный,15.05.24,"Компания ""Этажы"" ",Алматы,3.0,3,5,60.0,22000000
2022,кирпичный,15.05.24,"Компания ""Этажы"" ",Алматы,3.0,6,15,73.6,43500000
2022,кирпичный,15.05.24,"Компания ""Этажы"" ",Алматы,1.0,6,10,42.6,19300000
2023,кирпичный,15.05.24,"Компания ""Этажы"" ",Алматы,2.0,5,16,67.99,32950000
2006,кирпичный,15.05.24,"Компания ""Этажы"" ",Алматы,2.0,8,9,64.9,28500000
1995,панельный,15.05.24,"Компания ""Этажы"" ",Алматы,1.0,6,6,36.0,12500000
2015,кирпичный,15.05.24,"Компания ""Этажы"" ",Алматы,3.0,2,9,68.3,30000000
2021,монолитный,15.05.24,"Компания ""Этажы"" ",Алматы,2.0,5,7,54.2,30000000
2013,монолитный,15.05.24,"Компания ""Этажы"" ",Алматы,2.0,10,23,72.1,25000000
2017,кирпичный,15.05.24,Риэлтор,Алматы,2.0,9,13,60.0,23500000
1985,панельный,14.05.24,Частное лицо,Алматы,2.0,5,5,50.0,18000000
2022,кирпичный,14.05.24,Частное лицо,Алматы,3.0,9,9,85.0,34400000
2010,кирпичный,14.05.24,Частное лицо,Алматы,2.0,10,2010,58.0,24000000
2007,блочный,14.05.24,Частное лицо,Алматы,3.0,6,10,92.0,41500000
2023,монолитный,14.05.24,Агентство,Алматы,3.0,3,9,84.5,39800000
2016,монолитный,14.05.24,Агентство,Алматы,1.0,10,10,33.0,14000000
2018,кирпичный,14.05.24,Частное лицо,Алматы,2.0,9,9,65.0,33000000
2022,блочный,14.05.24,Частное лицо,Алматы,2.0,18,18,60.0,38000000
2018,монолитный,14.05.24,"Компания ""Этажы"" ",Алматы,2.0,14,24,67.0,33000000
2023,кирпичный,14.05.24,"Компания ""Этажы"" ",Алматы,1.0,2,9,35.3,14900000
1993,панельный,14.05.24,"Компания ""Этажы"" ",Алматы,1.0,2,9,40.0,15400000
2024,монолитный,14.05.24,"Компания ""Этажы"" ",Алматы,1.0,6,12,44.0,22000000
1981,панельный,14.05.24,"Компания ""Этажы"" ",Алматы,1.0,2,5,22.0,11700000
2016,монолитный,14.05.24,"Компания ""Этажы"" ",Алматы,1.0,10,12,37.8,15500000
2023,блочный,14.05.24,"Компания ""Этажы"" ",Алматы,2.0,13,17,43.0,19900000
2006,монолитный,14.05.24,"Компания ""Этажы"" ",Алматы,1.0,3,9,27.0,12600000
2011,кирпичный,14.05.24,"Компания ""Этажы"" ",Алматы,1.0,3,5,20.0,10050000
1991,блочный,14.05.24,"Компания ""Этажы"" ",Алматы,1.0,1,6,35.0,13500000
2018,блочный,14.05.24,"Компания ""Этажы"" ",Алматы,1.0,5,9,40.0,16500000
2012,монолитный,14.05.24,"Компания ""Этажы"" ",Алматы,2.0,4,25,52.4,24000000
2016,кирпичный,14.05.24,"Компания ""Этажы"" ",Алматы,3.0,6,9,76.0,28950000
2011,монолитный,14.05.24,"Компания ""Этажы"" ",Алматы,3.0,8,9,72.0,28850000
2018,кирпичный,14.05.24,"Компания ""Этажы"" ",Алматы,2.0,8,9,59.4,25500000
1993,панельный,14.05.24,"Компания ""Этажы"" ",Алматы,3.0,3,6,70.0,23000000
2021,монолитный,14.05.24,"Компания ""Этажы"" ",Алматы,2.0,8,10,63.0,28000000
2014,кирпичный,14.05.24,"Компания ""Этажы"" ",Алматы,2.0,9,12,84.0,29000000
2014,монолитный,14.05.24,"Компания ""Этажы"" ",Алматы,1.0,6,14,33.0,16450000
2023,монолитный,14.05.24,"Компания ""Этажы"" ",Алматы,3.0,14,21,63.0,29900000
2006,кирпичный,14.05.24,"Компания ""Этажы"" ",Алматы,2.0,2,5,49.0,18500000
2012,монолитный,14.05.24,"Компания ""Этажы"" ",Алматы,2.0,9,16,57.0,22500000
2020,монолитный,14.05.24,"Компания ""Этажы"" ",Алматы,1.0,12,21,44.9,17500000
2020,блочный,14.05.24,"Компания ""Этажы"" ",Алматы,1.0,5,8,46.2,18000000
2021,кирпичный,14.05.24,"Компания ""Этажы"" ",Алматы,2.0,7,9,53.3,26000000
2021,блочный,14.05.24,"Компания ""Этажы"" ",Алматы,1.0,7,8,38.5,18000000
2015,кирпичный,14.05.24,"Компания ""Этажы"" ",Алматы,2.0,9,10,60.0,21500000
2021,кирпичный,14.05.24,"Компания ""Этажы"" ",Алматы,3.0,9,9,64.4,35000000
2017,кирпичный,14.05.24,"Компания ""Этажы"" ",Алматы,1.0,7,11,39.9,18500000
2012,монолитный,14.05.24,"Компания ""Этажы"" ",Алматы,1.0,1,12,48.3,20900000
1967,панельный,14.05.24,"Компания ""Этажы"" ",Алматы,2.0,3,5,44.0,16000000
2005,кирпичный,14.05.24,"Компания ""Этажы"" ",Алматы,2.0,5,10,58.0,23000000
1978,панельный,14.05.24,"Компания ""Этажы"" ",Алматы,2.0,5,5,46.0,15000000
1980,панельный,14.05.24,"Компания ""Этажы"" ",Алматы,1.0,4,5,18.0,7000000
2009,блочный,14.05.24,"Компания ""Этажы"" ",Алматы,2.0,9,14,72.5,32150000
2022,кирпичный,14.05.24,"Компания ""Этажы"" ",Алматы,2.0,2,9,57.0,36500000
2018,кирпичный,14.05.24,"Компания ""Этажы"" ",Алматы,2.0,2,6,47.0,21450000
2023,монолитный,14.05.24,"Компания ""Этажы"" ",Алматы,1.0,7,9,42.5,16450000
2023,монолитный,14.05.24,"Компания ""Этажы"" ",Алматы,3.0,14,23,87.73,23000000
2019,кирпичный,14.05.24,"Компания ""Этажы"" ",Алматы,1.0,6,8,42.0,20000000
2021,монолитный,14.05.24,"Компания ""Этажы"" ",Алматы,2.0,2,10,60.3,20500000
2019,кирпичный,14.05.24,"Компания ""Этажы"" ",Алматы,1.0,4,8,38.7,17150000
2024,монолитный,14.05.24,"Компания ""Этажы"" ",Алматы,1.0,5,12,38.25,13800000
2023,монолитный,14.05.24,"Компания ""Этажы"" ",Алматы,2.0,4,16,63.5,33500000
2022,кирпичный,14.05.24,"Компания ""Этажы"" ",Алматы,1.0,8,9,38.0,21950000
2023,кирпичный,14.05.24,"Компания ""Этажы"" ",Алматы,1.0,5,12,27.0,12450000
2021,кирпичный,14.05.24,"Компания ""Этажы"" ",Алматы,2.0,2,12,61.1,29500000
2013,монолитный,14.05.24,"Компания ""Этажы"" ",Алматы,2.0,4,10,78.0,45500000
2023,кирпичный,14.05.24,"Компания ""Этажы"" ",Алматы,1.0,4,9,39.0,14000000
2015,монолитный,14.05.24,"Компания ""Этажы"" ",Алматы,3.0,8,18,103.0,44000000
2017,монолитный,14.05.24,"Компания ""Этажы"" ",Алматы,2.0,10,22,77.0,29999000
2017,монолитный,14.05.24,"Компания ""Этажы"" ",Алматы,1.0,13,13,28.0,13400000
2019,кирпичный,14.05.24,"Компания ""Этажы"" ",Алматы,1.0,6,7,39.0,18200000
2015,монолитный,14.05.24,"Компания ""Этажы"" ",Алматы,3.0,19,19,103.0,48000000
2008,монолитный,14.05.24,"Компания ""Этажы"" ",Алматы,2.0,10,13,52.4,18900000
2012,кирпичный,14.05.24,"Компания ""Этажы"" ",Алматы,3.0,3,4,60.1,26000000
2024,кирпичный,13.05.24,Частное лицо,Алматы,3.0,12,12,76.0,24608000
2016,монолитный,13.05.24,Частное лицо,Алматы,3.0,13,19,78.0,46200000
2024,кирпичный,13.05.24,Агентство,Алматы,2.0,5,10,51.0,18000000
2017,кирпичный,13.05.24,Частное лицо,Алматы,2.0,2,9,60.0,25900000
1990,панельный,13.05.24,Частное лицо,Алматы,2.0,6,9,49.0,24000000
1993,кирпичный,13.05.24,Частное лицо,Алматы,2.0,2,5,48.0,20900000
2019,кирпичный,13.05.24,Риэлтор,Алматы,1.0,6,9,36.0,16000000
2006,кирпичный,13.05.24,"Компания ""Этажы"" ",Алматы,2.0,5,5,46.0,17500000
2021,кирпичный,13.05.24,"Компания ""Этажы"" ",Алматы,2.0,2,10,46.7,25500000
2023,кирпичный,13.05.24,"Компания ""Этажы"" ",Алматы,2.0,6,9,64.0,20000000
1978,панельный,13.05.24,"Компания ""Этажы"" ",Алматы,3.0,2,5,51.1,17500000
1970,кирпичный,13.05.24,"Компания ""Этажы"" ",Алматы,1.0,2,5,30.0,9500000
2022,кирпичный,13.05.24,"Компания ""Этажы"" ",Алматы,2.0,13,18,64.1,31000000
2023,монолитный,13.05.24,Риэлтор,Алматы,2.0,7,10,66.0,41000000
2010,кирпичный,12.05.24,Риэлтор,Алматы,2.0,8,9,62.0,24000000
1993,панельный,12.05.24,Частное лицо,Алматы,5.0,5,9,100.0,35300000
1992,блочный,12.05.24,Агентство,Алматы,3.0,5,5,66.3,20000000
2017,монолитный,12.05.24,Агентство,Алматы,1.0,7,12,36.5,16500000
2023,кирпичный,12.05.24,Частное лицо,Алматы,1.0,6,12,31.0,15500000
2015,кирпичный,12.05.24,Риэлтор,Алматы,1.0,6,6,43.0,17200000
2021,кирпичный,12.05.24,Риэлтор,Алматы,3.0,12,17,90.0,32990000
1985,панельный,12.05.24,Риэлтор,Алматы,1.0,3,5,37.0,15500000
2006,панельный,12.05.24,"Компания ""Этажы"" ",Алматы,1.0,5,5,46.0,19000000
1987,панельный,12.05.24,"Компания ""Этажы"" ",Алматы,1.0,4,5,24.0,10500000
2007,блочный,12.05.24,"Компания ""Этажы"" ",Алматы,2.0,8,12,70.0,29700000
2017,кирпичный,12.05.24,"Компания ""Этажы"" ",Алматы,2.0,3,16,68.0,27300000
2007,блочный,12.05.24,"Компания ""Этажы"" ",Алматы,2.0,4,12,70.0,29000000
2012,монолитный,12.05.24,"Компания ""Этажы"" ",Алматы,2.0,5,10,70.0,27000000
2018,панельный,12.05.24,"Компания ""Этажы"" ",Алматы,1.0,8,12,38.0,18500000
2012,монолитный,12.05.24,"Компания ""Этажы"" ",Алматы,2.0,7,15,45.0,18900000
2009,монолитный,12.05.24,"Компания ""Этажы"" ",Алматы,2.0,9,16,66.8,23500000
2021,кирпичный,12.05.24,Частное лицо,Алматы,1.0,5,9,35.0,16500000
2015,монолитный,12.05.24,"Компания ""Этажы"" ",Алматы,1.0,12,18,32.4,16500000
1993,панельный,12.05.24,"Компания ""Этажы"" ",Алматы,2.0,5,9,50.5,19700000
2018,монолитный,12.05.24,"Компания ""Этажы"" ",Алматы,2.0,16,24,53.2,31000000
